HomeTeam,AwayTeam
Liverpool,AFC Bournemouth
Aston Villa,Newcastle United
Brighton & Hove Albion,Fulham
Sunderland,West Ham United
Tottenham Hotspur,Burnley
Wolverhampton Wanderers,Manchester City
Chelsea,Crystal Palace
Nottingham Forest,Brentford
Manchester United,Arsenal
Leeds United,Everton
West Ham United,Chelsea
Manchester City,Tottenham Hotspur
AFC Bournemouth,Wolverhampton Wanderers
Brentford,Aston Villa
Burnley,Sunderland
Arsenal,Leeds United
Crystal Palace,Nottingham Forest
Everton,Brighton & Hove Albion
Fulham,Manchester United
Newcastle United,Liverpool
Chelsea,Fulham
Manchester United,Burnley
Sunderland,Brentford
Tottenham Hotspur,AFC Bournemouth
Wolverhampton Wanderers,Everton
Leeds United,Newcastle United
Brighton & Hove Albion,Manchester City
Nottingham Forest,West Ham United
Liverpool,Arsenal
Aston Villa,Crystal Palace
Arsenal,Nottingham Forest
AFC Bournemouth,Brighton & Hove Albion
Crystal Palace,Sunderland
Everton,Aston Villa
Fulham,Leeds United
Newcastle United,Wolverhampton Wanderers
West Ham United,Tottenham Hotspur
Brentford,Chelsea
Burnley,Liverpool
Manchester City,Manchester United
Liverpool,Everton
Brighton & Hove Albion,Tottenham Hotspur
Burnley,Nottingham Forest
West Ham United,Crystal Palace
Wolverhampton Wanderers,Leeds United
Manchester United,Chelsea
Fulham,Brentford
AFC Bournemouth,Newcastle United
Sunderland,Aston Villa
Arsenal,Manchester City
Brentford,Manchester United
Chelsea,Brighton & Hove Albion
Crystal Palace,Liverpool
Leeds United,AFC Bournemouth
Manchester City,Burnley
Nottingham Forest,Sunderland
Tottenham Hotspur,Wolverhampton Wanderers
Aston Villa,Fulham
Newcastle United,Arsenal
Everton,West Ham United
AFC Bournemouth,Fulham
Leeds United,Tottenham Hotspur
Arsenal,West Ham United
Manchester United,Sunderland
Chelsea,Liverpool
Aston Villa,Burnley
Everton,Crystal Palace
Newcastle United,Nottingham Forest
Wolverhampton Wanderers,Brighton & Hove Albion
Brentford,Manchester City
Nottingham Forest,Chelsea
Brighton & Hove Albion,Newcastle United
Burnley,Leeds United
Crystal Palace,AFC Bournemouth
Manchester City,Everton
Sunderland,Wolverhampton Wanderers
Fulham,Arsenal
Tottenham Hotspur,Aston Villa
Liverpool,Manchester United
West Ham United,Brentford
Leeds United,West Ham United
Chelsea,Sunderland
Newcastle United,Fulham
Manchester United,Brighton & Hove Albion
Brentford,Liverpool
Arsenal,Crystal Palace
Aston Villa,Manchester City
AFC Bournemouth,Nottingham Forest
Wolverhampton Wanderers,Burnley
Everton,Tottenham Hotspur
Brighton & Hove Albion,Leeds United
Burnley,Arsenal
Crystal Palace,Brentford
Fulham,Wolverhampton Wanderers
Nottingham Forest,Manchester United
Tottenham Hotspur,Chelsea
Liverpool,Aston Villa
West Ham United,Newcastle United
Manchester City,AFC Bournemouth
Sunderland,Everton
Tottenham Hotspur,Manchester United
Everton,Fulham
West Ham United,Burnley
Sunderland,Arsenal
Chelsea,Wolverhampton Wanderers
Aston Villa,AFC Bournemouth
Brentford,Newcastle United
Crystal Palace,Brighton & Hove Albion
Nottingham Forest,Leeds United
Manchester City,Liverpool
Burnley,Chelsea
AFC Bournemouth,West Ham United
Brighton & Hove Albion,Brentford
Fulham,Sunderland
Liverpool,Nottingham Forest
Wolverhampton Wanderers,Crystal Palace
Newcastle United,Manchester City
Leeds United,Aston Villa
Arsenal,Tottenham Hotspur
Manchester United,Everton
Brentford,Burnley
Manchester City,Leeds United
Sunderland,AFC Bournemouth
Everton,Newcastle United
Tottenham Hotspur,Fulham
Crystal Palace,Manchester United
Aston Villa,Wolverhampton Wanderers
Nottingham Forest,Brighton & Hove Albion
West Ham United,Liverpool
Chelsea,Arsenal
AFC Bournemouth,Everton
Fulham,Manchester City
Newcastle United,Tottenham Hotspur
Arsenal,Brentford
Brighton & Hove Albion,Aston Villa
Burnley,Crystal Palace
Wolverhampton Wanderers,Nottingham Forest
Leeds United,Chelsea
Liverpool,Sunderland
Manchester United,West Ham United
Aston Villa,Arsenal
AFC Bournemouth,Chelsea
Everton,Nottingham Forest
Manchester City,Sunderland
Newcastle United,Burnley
Tottenham Hotspur,Brentford
Leeds United,Liverpool
Brighton & Hove Albion,West Ham United
Fulham,Crystal Palace
Wolverhampton Wanderers,Manchester United
Chelsea,Everton
Liverpool,Brighton & Hove Albion
Burnley,Fulham
Arsenal,Wolverhampton Wanderers
Crystal Palace,Manchester City
Nottingham Forest,Tottenham Hotspur
Sunderland,Newcastle United
West Ham United,Aston Villa
Brentford,Leeds United
Manchester United,AFC Bournemouth
Newcastle United,Chelsea
AFC Bournemouth,Burnley
Brighton & Hove Albion,Sunderland
Manchester City,West Ham United
Wolverhampton Wanderers,Brentford
Tottenham Hotspur,Liverpool
Everton,Arsenal
Leeds United,Crystal Palace
Aston Villa,Manchester United
Fulham,Nottingham Forest
Manchester United,Newcastle United
Nottingham Forest,Manchester City
Arsenal,Brighton & Hove Albion
Brentford,AFC Bournemouth
Burnley,Everton
Liverpool,Wolverhampton Wanderers
West Ham United,Fulham
Chelsea,Aston Villa
Sunderland,Leeds United
Crystal Palace,Tottenham Hotspur
Burnley,Newcastle United
Chelsea,AFC Bournemouth
Nottingham Forest,Everton
West Ham United,Brighton & Hove Albion
Arsenal,Aston Villa
Manchester United,Wolverhampton Wanderers
Crystal Palace,Fulham
Liverpool,Leeds United
Brentford,Tottenham Hotspur
Sunderland,Manchester City
